dteday,season,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,target,count_lagged_week
2011-01-06,1,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,163,
2011-01-06,1,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,112,
2011-01-06,1,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,69,
2011-01-06,1,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,48,
2011-01-06,1,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,52,
2011-01-06,1,1,23,0,4,1,2,0.2,0.197,0.59,0.194,23,
2011-01-07,1,1,0,0,5,1,2,0.2,0.197,0.64,0.194,17,
2011-01-07,1,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,7,
2011-01-07,1,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,1,
2011-01-07,1,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,1,
2011-01-07,1,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,5,
2011-01-07,1,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,34,
2011-01-07,1,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,84,
2011-01-07,1,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,210,
2011-01-07,1,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,134,
2011-01-07,1,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,63,
2011-01-07,1,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,67,
2011-01-07,1,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,59,
2011-01-07,1,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,73,
2011-01-07,1,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,50,
2011-01-07,1,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,72,
2011-01-07,1,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,87,
2011-01-07,1,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,187,
2011-01-07,1,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,123,
2011-01-07,1,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,95,
2011-01-07,1,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,51,
2011-01-07,1,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,39,
2011-01-07,1,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,36,
2011-01-07,1,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,15,
2011-01-08,1,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,25,
2011-01-08,1,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,16,
2011-01-08,1,1,2,0,6,0,2,0.18,0.2424,0.55,0.0,16,
2011-01-08,1,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,7,
2011-01-08,1,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,1,
2011-01-08,1,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,5,
2011-01-08,1,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,2,
2011-01-08,1,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,9,16.0
2011-01-08,1,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,15,40.0
2011-01-08,1,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,20,32.0
2011-01-08,1,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,61,13.0
2011-01-08,1,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,62,1.0
2011-01-08,1,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,98,1.0
2011-01-08,1,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,102,2.0
2011-01-08,1,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,95,3.0
2011-01-08,1,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,74,8.0
2011-01-08,1,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,76,14.0
2011-01-08,1,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,69,36.0
2011-01-08,1,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,55,56.0
2011-01-08,1,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,30,84.0
2011-01-08,1,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,28,94.0
2011-01-08,1,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,37,106.0
2011-01-08,1,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,34,110.0
2011-01-08,1,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,22,93.0
2011-01-09,1,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,25,67.0
2011-01-09,1,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,12,35.0
2011-01-09,1,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,11,37.0
2011-01-09,1,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,4,36.0
2011-01-09,1,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,1,34.0
2011-01-09,1,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,1,28.0
2011-01-09,1,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,1,39.0
2011-01-09,1,1,7,0,0,0,1,0.08,0.0909,0.53,0.194,6,17.0
2011-01-09,1,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,10,17.0
2011-01-09,1,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,19,9.0
2011-01-09,1,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,49,6.0
2011-01-09,1,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,49,3.0
2011-01-09,1,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,83,2.0
2011-01-09,1,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,75,1.0
2011-01-09,1,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,72,8.0
2011-01-09,1,1,15,0,0,0,1,0.22,0.197,0.35,0.3582,82,20.0
2011-01-09,1,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,92,53.0
2011-01-09,1,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,62,70.0
2011-01-09,1,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,48,93.0
2011-01-09,1,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,41,75.0
2011-01-09,1,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,38,59.0
2011-01-09,1,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,20,74.0
2011-01-09,1,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,15,76.0
2011-01-09,1,1,23,0,0,0,1,0.12,0.1364,0.5,0.194,6,65.0
2011-01-10,1,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,5,53.0
2011-01-10,1,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1,30.0
2011-01-10,1,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,3,22.0
2011-01-10,1,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,1,31.0
2011-01-10,1,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,3,9.0
2011-01-10,1,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,3,8.0
2011-01-10,1,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,31,5.0
2011-01-10,1,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,77,2.0
2011-01-10,1,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,188,1.0
2011-01-10,1,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,94,3.0
2011-01-10,1,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985,31,30.0
2011-01-10,1,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836,30,64.0
2011-01-10,1,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,52,154.0
2011-01-10,1,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,54,88.0
2011-01-10,1,1,14,0,1,1,2,0.2,0.197,0.4,0.2239,47,44.0
2011-01-10,1,1,15,0,1,1,2,0.2,0.197,0.4,0.2239,45,51.0
2011-01-10,1,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,74,61.0
2011-01-10,1,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,178,61.0
2011-01-10,1,1,18,0,1,1,1,0.2,0.197,0.4,0.2239,155,77.0
2011-01-10,1,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642,95,72.0
2011-01-10,1,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642,74,76.0
2011-01-10,1,1,21,0,1,1,1,0.14,0.1364,0.59,0.194,38,157.0
2011-01-10,1,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642,24,157.0
2011-01-10,1,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642,18,110.0
2011-01-11,1,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045,12,52.0
2011-01-11,1,1,1,0,2,1,1,0.14,0.1515,0.59,0.1642,3,52.0
2011-01-11,1,1,2,0,2,1,2,0.16,0.1515,0.55,0.194,3,20.0
2011-01-11,1,1,5,0,2,1,2,0.16,0.1818,0.55,0.1343,6,12.0
2011-01-11,1,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343,27,5.0
2011-01-11,1,1,7,0,2,1,2,0.16,0.2273,0.55,0.0,99,2.0
2011-01-11,1,1,8,0,2,1,2,0.18,0.2121,0.51,0.0896,217,1.0
2011-01-11,1,1,9,0,2,1,2,0.18,0.197,0.51,0.1642,130,2.0
2011-01-11,1,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642,54,4.0
2011-01-11,1,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343,35,36.0
2011-01-11,1,1,12,0,2,1,2,0.2,0.2273,0.51,0.1045,57,94.0
2011-01-11,1,1,13,0,2,1,2,0.2,0.2273,0.59,0.0896,52,179.0
2011-01-11,1,1,14,0,2,1,2,0.2,0.2273,0.59,0.0896,63,100.0
2011-01-11,1,1,15,0,2,1,2,0.16,0.197,0.8,0.0896,47,42.0
2011-01-11,1,1,16,0,2,1,2,0.16,0.1515,0.86,0.2239,76,57.0
2011-01-11,1,1,17,0,2,1,2,0.16,0.1515,0.86,0.2239,136,78.0
2011-01-11,1,1,18,0,2,1,3,0.16,0.1818,0.93,0.1045,95,97.0
2011-01-11,1,1,19,0,2,1,3,0.16,0.2273,0.93,0.0,51,63.0
2011-01-11,1,1,20,0,2,1,3,0.16,0.1515,0.93,0.194,32,65.0
2011-01-11,1,1,21,0,2,1,3,0.16,0.197,0.86,0.0896,20,83.0
2011-01-11,1,1,22,0,2,1,3,0.16,0.1818,0.93,0.1045,29,212.0
2011-01-11,1,1,23,0,2,1,3,0.16,0.197,0.93,0.0896,19,182.0
2011-01-12,1,1,0,0,3,1,2,0.16,0.197,0.86,0.0896,7,112.0
2011-01-12,1,1,1,0,3,1,2,0.16,0.1818,0.86,0.1045,6,54.0
2011-01-12,1,1,2,0,3,1,1,0.14,0.1515,0.86,0.1343,1,48.0
2011-01-12,1,1,5,0,3,1,1,0.14,0.1515,0.86,0.1642,5,35.0
2011-01-12,1,1,6,0,3,1,1,0.12,0.1515,0.93,0.1343,16,11.0
2011-01-12,1,1,7,0,3,1,1,0.14,0.1515,0.69,0.1343,54,6.0
2011-01-12,1,1,8,0,3,1,1,0.16,0.1667,0.59,0.1642,128,6.0
2011-01-12,1,1,9,0,3,1,1,0.16,0.1364,0.59,0.3284,81,2.0
2011-01-12,1,1,10,0,3,1,1,0.18,0.1818,0.55,0.2239,39,2.0
2011-01-12,1,1,11,0,3,1,1,0.2,0.1818,0.51,0.3881,35,3.0
2011-01-12,1,1,12,0,3,1,1,0.2,0.1515,0.47,0.5821,55,33.0
2011-01-12,1,1,13,0,3,1,1,0.22,0.197,0.44,0.3582,49,88.0
2011-01-12,1,1,14,0,3,1,1,0.2,0.1818,0.47,0.3284,44,195.0
2011-01-12,1,1,15,0,3,1,1,0.2,0.1667,0.47,0.4179,49,115.0
2011-01-12,1,1,16,0,3,1,1,0.22,0.197,0.44,0.3284,68,57.0
2011-01-12,1,1,17,0,3,1,1,0.2,0.1818,0.47,0.3582,139,46.0
2011-01-12,1,1,18,0,3,1,1,0.2,0.1515,0.47,0.5224,137,79.0
2011-01-12,1,1,19,0,3,1,1,0.18,0.1515,0.47,0.4179,83,71.0
2011-01-12,1,1,20,0,3,1,1,0.16,0.1364,0.5,0.3284,56,62.0
2011-01-12,1,1,21,0,3,1,1,0.16,0.1364,0.55,0.3284,57,62.0
2011-01-12,1,1,22,0,3,1,1,0.16,0.1212,0.55,0.4478,33,89.0
2011-01-12,1,1,23,0,3,1,1,0.14,0.1061,0.59,0.4179,20,190.0
2011-01-13,1,1,0,0,4,1,1,0.14,0.1212,0.59,0.2836,7,169.0
2011-01-13,1,1,1,0,4,1,1,0.14,0.1212,0.5,0.2836,2,132.0
2011-01-13,1,1,2,0,4,1,1,0.14,0.1212,0.5,0.3582,2,89.0
2011-01-13,1,1,3,0,4,1,1,0.14,0.1212,0.5,0.3284,3,43.0
2011-01-13,1,1,4,0,4,1,1,0.14,0.1212,0.5,0.2537,4,42.0
2011-01-13,1,1,5,0,4,1,1,0.14,0.1212,0.5,0.2985,3,19.0
2011-01-13,1,1,6,0,4,1,1,0.12,0.1515,0.54,0.1343,28,11.0
2011-01-13,1,1,7,0,4,1,1,0.12,0.1515,0.54,0.1343,72,4.0
2011-01-13,1,1,8,0,4,1,1,0.14,0.1364,0.5,0.194,202,2.0
2011-01-13,1,1,9,0,4,1,1,0.14,0.1212,0.5,0.3284,139,1.0
2011-01-13,1,1,10,0,4,1,2,0.16,0.1364,0.5,0.3582,38,4.0
2011-01-13,1,1,11,0,4,1,2,0.2,0.1667,0.44,0.4478,37,36.0
2011-01-13,1,1,12,0,4,1,1,0.2,0.1667,0.44,0.4179,52,95.0
2011-01-13,1,1,13,0,4,1,1,0.22,0.197,0.41,0.4478,83,219.0
2011-01-13,1,1,14,0,4,1,1,0.22,0.197,0.41,0.3881,42,122.0
2011-01-13,1,1,15,0,4,1,1,0.24,0.2121,0.38,0.2985,60,45.0
2011-01-13,1,1,16,0,4,1,1,0.24,0.2121,0.38,0.3582,78,59.0
2011-01-13,1,1,17,0,4,1,1,0.2,0.1818,0.4,0.2836,162,84.0
2011-01-13,1,1,18,0,4,1,1,0.2,0.1818,0.4,0.3284,144,67.0
2011-01-13,1,1,19,0,4,1,1,0.16,0.1515,0.47,0.2537,99,70.0
2011-01-13,1,1,20,0,4,1,1,0.16,0.1515,0.47,0.2239,64,62.0
2011-01-13,1,1,21,0,4,1,1,0.14,0.1212,0.46,0.2985,40,86.0
2011-01-13,1,1,22,0,4,1,1,0.14,0.1212,0.46,0.3284,30,172.0
2011-01-13,1,1,23,0,4,1,1,0.12,0.1364,0.5,0.194,15,163.0
2011-01-14,1,1,0,0,5,1,1,0.12,0.1364,0.5,0.194,14,112.0
2011-01-14,1,1,1,0,5,1,1,0.1,0.1212,0.54,0.1642,5,69.0
2011-01-14,1,1,2,0,5,1,1,0.1,0.1212,0.54,0.1343,1,48.0
2011-01-14,1,1,3,0,5,1,1,0.1,0.1364,0.54,0.1045,1,52.0
2011-01-14,1,1,5,0,5,1,1,0.1,0.1364,0.54,0.0896,8,23.0
2011-01-14,1,1,6,0,5,1,1,0.1,0.1818,0.54,0.0,17,17.0
2011-01-14,1,1,7,0,5,1,1,0.1,0.1212,0.74,0.1642,70,7.0
2011-01-14,1,1,8,0,5,1,1,0.12,0.1667,0.68,0.0,158,1.0
2011-01-14,1,1,9,0,5,1,1,0.14,0.1515,0.69,0.1343,117,1.0
2011-01-14,1,1,10,0,5,1,1,0.18,0.1818,0.55,0.194,44,5.0
2011-01-14,1,1,11,0,5,1,1,0.18,0.1667,0.51,0.2836,53,34.0
2011-01-14,1,1,12,0,5,1,1,0.2,0.197,0.44,0.2537,61,84.0
2011-01-14,1,1,13,0,5,1,1,0.22,0.197,0.37,0.3881,77,210.0
2011-01-14,1,1,14,0,5,1,1,0.22,0.2121,0.41,0.2836,64,134.0
2011-01-14,1,1,15,0,5,1,1,0.24,0.2424,0.38,0.1642,68,63.0
2011-01-14,1,1,16,0,5,1,1,0.22,0.2424,0.41,0.1045,90,67.0
2011-01-14,1,1,17,0,5,1,1,0.22,0.2273,0.41,0.1642,159,59.0
2011-01-14,1,1,18,0,5,1,1,0.2,0.2576,0.47,0.0,139,73.0
2011-01-14,1,1,19,0,5,1,1,0.16,0.197,0.59,0.0896,92,50.0
2011-01-14,1,1,20,0,5,1,1,0.18,0.2424,0.59,0.0,68,72.0
2011-01-14,1,1,21,0,5,1,1,0.16,0.2273,0.69,0.0,52,87.0
