,target,fem,ment,phd,mar,kid5
140,9,0,22.9999962,2.96,1,1
141,2,0,45.9999924,2.96,1,2
142,6,0,7.9999986,4.6199999,1,1
143,0,0,4.9999981,3.6900001,1,2
144,0,0,0.9999999,3.1500001,1,1
145,2,0,9.0,4.6199999,0,0
146,0,0,1.9999999,3.3599999,1,0
147,4,0,6.9999995,3.6900001,0,0
148,1,0,10.9999971,3.54,1,0
149,4,0,56.9999962,2.96,1,1
150,1,0,15.9999981,2.5599999,1,1
151,0,0,0.0,2.3199999,1,0
152,0,0,3.0,2.3199999,1,0
153,0,0,0.9999999,0.92,1,2
154,0,0,9.999999,4.54,1,0
155,0,0,10.9999971,4.54,1,3
156,5,0,10.9999971,1.76,1,1
157,1,0,15.9999981,2.5599999,0,0
158,0,0,4.9999981,2.3900001,1,1
159,2,0,9.0,3.4000001,1,0
160,2,0,19.9999962,2.8699999,1,2
161,4,0,21.0,4.54,1,2
162,4,0,4.9999981,2.8299999,1,0
163,0,0,6.0000005,1.6799999,1,0
164,3,0,12.0,3.54,0,0
165,2,0,0.0,1.76,1,0
166,1,0,10.9999971,3.1500001,1,3
167,0,0,3.0,2.51,1,0
168,0,0,15.9999981,3.6900001,1,1
169,4,0,10.9999971,1.76,1,1
170,12,0,4.9999981,1.86,1,1
171,0,0,0.9999999,2.76,1,3
172,1,0,15.9999981,4.6199999,1,1
173,5,0,12.0,4.25,1,0
174,4,0,10.9999971,2.54,1,0
175,0,0,0.0,2.2,1,1
177,3,0,3.0,2.8599999,1,3
178,0,0,13.0,3.4000001,1,2
179,1,0,45.0,4.54,1,1
180,9,0,47.0000076,1.86,1,1
181,0,0,6.9999995,1.52,1,0
182,2,0,6.9999995,2.5599999,1,1
183,0,0,19.0000019,2.21,1,0
184,7,0,9.0,3.6900001,1,0
185,1,0,76.9999847,1.78,1,1
186,0,0,0.0,1.1799999,1,1
187,1,0,3.999999,2.0,1,0
189,0,0,12.0,4.1399999,1,2
190,0,0,0.9999999,2.8599999,1,3
192,7,0,6.0000005,2.54,0,0
193,0,0,3.999999,2.8599999,1,1
194,4,0,6.0000005,2.52,0,0
195,2,0,3.0,1.52,1,1
196,3,0,4.9999981,3.0899999,1,1
197,0,0,3.0,1.1799999,1,1
198,0,0,3.0,1.42,1,0
199,7,0,15.000001,4.6199999,0,0
200,1,0,0.0,2.96,1,2
201,2,0,9.999999,4.54,0,0
202,7,0,41.9999962,4.54,0,0
203,1,0,3.0,2.51,1,2
204,2,0,6.9999995,3.1500001,1,1
206,1,0,6.0000005,2.96,1,3
207,0,0,3.999999,1.6799999,1,0
208,1,0,0.0,1.22,1,1
209,1,0,1.9999999,1.52,1,0
210,0,0,4.9999981,2.21,1,1
211,0,0,0.9999999,3.9200001,1,1
212,5,0,13.0,4.54,1,0
213,2,0,0.0,1.1799999,1,0
214,3,0,26.0,3.6900001,1,0
215,2,0,0.9999999,1.72,1,0
216,5,0,25.0,2.5799999,1,1
217,3,0,3.0,1.52,0,0
218,4,0,47.0000076,1.86,1,1
219,5,0,3.999999,2.5,1,0
220,1,0,0.9999999,4.6199999,1,0
221,0,0,6.9999995,1.4,1,2
222,3,0,4.9999981,4.54,1,0
223,0,0,26.9999981,1.6799999,1,1
224,2,0,0.9999999,2.8299999,1,0
225,1,0,4.9999981,3.3599999,0,0
226,7,0,0.0,1.97,1,1
227,1,0,12.0,3.4000001,0,0
228,1,0,3.999999,1.74,1,1
229,0,0,0.0,2.96,0,0
230,4,0,25.0,2.5799999,1,1
231,1,0,3.0,4.54,1,1
232,0,0,1.9999999,3.1500001,1,1
233,0,0,12.0,2.96,1,2
234,2,0,15.9999981,3.54,1,2
235,3,0,4.9999981,2.96,1,1
236,1,0,12.0,4.25,1,0
237,2,0,4.9999981,2.5599999,1,1
238,1,0,4.9999981,1.86,1,0
239,1,0,3.0,4.6199999,1,1
240,2,0,3.999999,2.8599999,0,0
241,5,0,4.9999981,3.1500001,1,1
242,2,0,0.0,2.51,1,0
243,5,0,26.9999981,3.1500001,1,1
244,2,0,4.9999981,2.51,1,0
245,0,0,0.0,1.52,1,1
246,6,0,17.9999981,4.29,0,0
247,4,0,4.9999981,4.29,1,1
248,2,0,7.9999986,4.29,1,2
249,2,0,3.999999,2.0999999,1,0
250,12,0,35.0000076,4.29,1,1
251,2,0,4.9999981,4.29,0,0
252,1,0,9.0,3.5899999,1,1
253,1,0,6.0000005,4.29,1,0
254,2,0,24.0000019,4.29,1,0
256,0,0,4.9999981,1.8099999,1,1
257,7,0,19.0000019,4.29,0,0
258,1,0,3.0,4.29,0,0
259,1,0,1.9999999,4.29,1,1
260,3,0,3.999999,1.25,1,0
261,1,0,9.999999,3.5899999,1,0
262,1,0,7.9999986,2.0999999,1,1
263,4,0,1.9999999,4.29,1,0
264,3,0,19.0000019,4.29,1,1
265,1,0,0.9999999,3.47,1,1
266,1,0,3.0,3.1900001,1,0
267,1,0,4.9999981,3.1900001,1,2
268,1,0,0.0,2.0999999,1,0
269,5,0,21.0,3.5899999,1,1
270,1,0,13.9999971,4.29,1,1
271,0,0,0.0,2.0999999,1,0
272,1,0,6.9999995,2.76,1,1
273,3,0,4.9999981,2.6099999,1,0
274,4,0,22.0,4.29,1,0
275,7,0,19.9999962,3.4100001,0,0
276,3,0,38.0000038,4.29,1,0
277,4,0,19.0000019,4.29,0,0
278,2,0,3.0,2.26,0,0
279,3,0,15.9999981,3.5899999,0,0
280,0,0,1.9999999,4.29,1,1
281,1,0,3.0,2.05,0,0
282,1,0,12.0,4.29,1,2
283,0,0,35.0000076,4.29,0,0
284,0,0,19.0000019,4.29,1,0
286,1,0,6.9999995,2.76,0,0
287,3,0,3.999999,2.0999999,1,2
288,1,0,13.9999971,2.3599999,0,0
290,0,0,7.9999986,3.5899999,0,0
291,2,0,12.0,4.29,1,1
292,0,0,3.0,4.29,1,1
293,1,0,0.9999999,4.29,1,0
294,1,0,9.999999,4.29,0,0
295,4,0,21.0,3.4100001,0,0
296,0,0,13.0,4.29,1,1
297,2,0,17.0,4.29,1,0
298,0,0,4.9999981,4.29,0,0
299,0,0,1.9999999,2.1400001,0,0
300,0,0,7.9999986,4.29,1,0
301,2,0,1.9999999,2.5,1,1
302,3,0,4.9999981,2.6099999,1,1
303,0,0,0.9999999,1.8099999,1,2
304,0,0,1.9999999,2.26,1,1
305,1,0,3.999999,3.6199999,1,2
306,1,0,9.0,4.29,1,2
308,2,0,17.0,4.29,0,0
309,0,0,24.0000019,4.29,1,2
310,4,0,3.999999,3.47,1,0
311,2,0,13.9999971,4.29,1,1
312,1,0,4.9999981,3.5899999,1,1
313,1,0,9.999999,1.8099999,0,0
314,3,0,17.9999981,4.29,1,1
315,0,0,0.9999999,4.29,1,1
317,0,0,3.999999,2.1500001,1,2
319,1,0,0.9999999,2.26,1,0
321,0,0,13.0,4.29,1,2
322,0,0,4.9999981,3.5899999,1,2
323,0,0,6.9999995,3.4100001,1,2
324,3,0,6.9999995,3.5899999,0,0
325,3,0,4.9999981,3.6199999,1,1
326,1,0,0.0,2.0999999,1,3
327,1,0,13.9999971,4.29,0,0
328,0,0,6.0000005,4.29,1,0
329,1,0,4.9999981,2.26,1,1
330,3,0,7.9999986,2.76,1,0
331,1,0,3.999999,2.6099999,1,1
332,2,0,9.0,4.29,0,0
333,2,0,3.0,2.0999999,1,1
334,0,0,1.9999999,3.47,1,1
336,1,0,10.9999971,4.29,0,0
337,1,0,9.0,4.29,0,0
338,1,0,7.9999986,2.96,1,0
339,2,0,1.9999999,2.96,1,0
340,3,0,17.9999981,4.6199999,1,0
341,3,0,3.0,1.42,1,0
342,1,0,1.9999999,4.54,1,0
343,0,0,6.9999995,2.52,1,0
344,2,0,9.999999,4.54,1,1
345,1,0,15.9999981,2.0,1,1
346,0,0,4.9999981,2.54,1,0
347,2,0,0.0,2.5,1,0
348,0,0,7.9999986,4.54,0,0
349,1,0,9.999999,3.3599999,0,0
350,0,0,17.9999981,3.4000001,1,1
351,1,0,12.0,1.6799999,1,1
352,1,0,9.0,2.0,0,0
353,1,0,39.0,2.8599999,1,0
354,1,0,17.9999981,4.6199999,1,0
355,1,0,15.000001,4.1399999,1,0
356,2,0,15.9999981,4.1399999,1,0
357,0,0,1.9999999,2.96,0,0
358,3,0,6.9999995,2.8299999,1,2
359,2,0,24.0000019,2.55,1,0
360,1,0,7.9999986,1.6799999,1,0
361,1,0,6.9999995,2.0,0,0
362,1,0,10.9999971,2.0,1,1
363,4,0,0.0,2.96,1,1
364,4,0,3.999999,1.505,1,0
365,2,0,21.0,3.54,1,0
366,1,0,6.0000005,3.4000001,0,0
367,0,0,6.0000005,4.6199999,0,0
368,3,0,7.9999986,2.8299999,0,0
369,1,0,3.999999,2.54,1,0
370,1,0,12.0,2.8699999,0,0
371,1,0,15.000001,1.86,0,0
372,1,0,0.0,3.9200001,1,1
373,1,0,4.9999981,3.6900001,1,1
374,4,0,15.000001,2.8599999,1,2
375,0,0,4.9999981,4.54,0,0
376,0,0,7.9999986,4.6199999,0,0
377,0,0,13.0,2.8599999,1,1
378,1,0,1.9999999,3.4000001,0,0
379,4,0,6.0000005,2.5799999,1,2
380,3,0,19.9999962,4.25,1,0
381,2,0,6.9999995,1.76,1,1
382,0,0,6.9999995,2.8599999,1,3
383,4,0,15.9999981,3.6900001,1,2
384,0,0,13.0,3.4000001,1,0
385,0,0,0.0,3.4000001,1,2
386,0,0,0.9999999,4.54,1,2
387,3,0,12.0,2.8699999,0,0
388,4,0,6.9999995,1.76,1,0
389,1,0,3.999999,4.25,0,0
390,3,0,0.0,3.9200001,0,0
391,2,0,3.999999,3.3599999,1,0
392,1,0,3.999999,2.3199999,1,0
393,2,0,36.9999924,4.54,0,0
394,0,0,22.9999962,3.3599999,1,1
395,2,0,7.9999986,2.0,1,3
396,1,0,7.9999986,3.9200001,1,1
397,1,0,1.9999999,3.9200001,0,0
398,1,0,0.0,3.3599999,0,0
399,1,0,0.9999999,1.78,1,0
400,1,0,21.0,3.54,1,1
401,2,0,9.999999,3.9200001,0,0
402,3,0,7.9999986,2.3199999,0,0
403,1,0,33.9999924,1.6799999,1,0
404,2,0,13.9999971,3.0899999,0,0
405,0,0,6.0000005,2.5799999,1,1
406,6,0,13.9999971,3.4000001,0,0
408,4,0,17.9999981,4.6199999,0,0
409,0,0,3.0,2.96,1,3
410,2,0,6.0000005,1.86,1,2
411,0,0,1.9999999,1.22,1,1
412,6,0,10.9999971,2.51,1,2
413,8,0,10.9999971,2.51,1,0
414,2,0,4.9999981,3.6900001,1,0
415,3,0,7.9999986,2.96,1,0
416,1,0,3.999999,1.78,1,0
417,1,0,0.9999999,1.22,1,1
418,0,0,7.9999986,2.8599999,1,0
419,7,0,19.0000019,3.6900001,0,0
420,0,0,1.9999999,2.1199999,0,0
421,2,0,9.999999,2.52,1,1
423,2,0,3.0,4.6199999,1,0
424,4,0,1.9999999,3.54,1,2
425,0,0,0.9999999,2.5,1,0
426,0,0,4.9999981,1.6799999,0,0
427,1,0,1.9999999,3.4000001,1,1
428,0,0,4.9999981,3.9200001,0,0
429,5,0,52.9999809,4.54,1,1
430,2,0,54.9999886,4.54,0,0
431,0,0,0.0,2.5,0,0
432,2,0,10.9999971,4.54,1,0
433,3,0,25.0,3.54,0,0
434,2,0,4.9999981,1.52,1,0
435,0,0,1.9999999,3.9200001,1,2
436,2,0,7.9999986,4.6199999,1,0
437,3,0,0.0,3.9200001,1,0
438,0,0,4.9999981,2.3199999,1,2
439,2,0,7.9999986,2.96,1,2
440,1,0,6.9999995,2.8599999,1,2
441,3,0,13.9999971,1.95,1,1
442,1,0,1.9999999,3.9200001,1,2
443,1,0,4.9999981,2.8699999,0,0
444,3,0,24.0000019,3.6900001,1,0
445,0,0,3.0,3.6900001,1,0
446,2,0,3.999999,2.3900001,0,0
447,3,0,3.0,1.95,1,2
448,5,0,10.9999971,3.3599999,0,0
449,2,0,3.999999,2.3900001,1,1
450,2,0,26.0,3.6900001,0,0
451,5,0,3.999999,2.96,1,1
452,0,0,1.9999999,3.21,1,0
453,0,0,0.0,2.1199999,1,2
454,2,0,52.9999809,4.54,1,1
455,3,0,3.999999,2.3199999,1,0
456,3,0,6.0000005,2.54,1,1
457,1,0,1.9999999,2.8599999,1,1
458,3,0,13.9999971,3.47,1,0
459,4,0,15.000001,2.8699999,0,0
460,0,0,3.999999,2.3199999,1,0
461,4,0,15.000001,1.86,1,2
462,2,0,3.999999,1.95,1,0
463,0,0,1.9999999,2.3199999,1,2
464,1,0,19.9999962,4.25,1,2
465,6,0,3.999999,1.97,0,0
466,19,0,41.9999962,1.86,1,0
467,0,0,7.9999986,3.6900001,1,1
468,0,0,3.0,4.54,1,1
469,4,0,9.0,3.54,1,0
470,1,0,9.999999,4.54,1,1
471,11,0,6.9999995,2.8599999,1,2
472,0,0,25.0,3.3599999,1,0
473,0,0,3.0,2.8599999,0,0
474,0,0,3.999999,2.96,1,2
475,1,0,22.0,2.5599999,1,2
476,2,0,7.9999986,1.63,1,0
477,0,0,13.9999971,2.96,0,0
478,1,0,0.0,2.96,1,0
479,1,0,7.9999986,1.63,1,1
481,2,0,21.0,2.96,1,2
482,1,0,6.9999995,2.96,1,0
483,3,0,30.9999886,4.54,1,2
484,2,0,1.9999999,4.54,1,2
485,1,0,9.999999,2.1500001,0,0
486,2,0,6.0000005,4.54,1,1
487,2,0,12.0,2.21,1,2
488,0,0,0.9999999,2.21,1,1
489,2,0,29.0,4.54,0,0
490,3,0,9.999999,2.21,1,1
491,0,0,6.0000005,2.21,1,0
492,3,0,36.9999924,4.54,1,0
493,4,0,4.9999981,4.54,0,0
494,0,1,9.0,2.1199999,0,0
495,0,1,1.9999999,2.1199999,1,0
496,2,1,1.9999999,2.1199999,1,0
497,3,1,3.0,2.1199999,1,0
498,1,1,9.0,2.1199999,1,1
499,3,1,10.9999971,2.3900001,0,0
500,2,1,4.9999981,2.5799999,0,0
501,4,1,6.9999995,3.1900001,1,0
502,0,1,4.9999981,3.75,0,0
503,1,1,3.0,3.5899999,0,0
504,2,1,1.9999999,2.5799999,0,0
505,3,1,0.0,3.75,0,0
506,0,1,4.9999981,3.75,1,0
507,0,1,0.9999999,3.75,0,0
508,2,1,3.999999,1.22,1,2
509,0,1,13.9999971,3.75,0,0
510,0,1,6.9999995,3.75,1,0
511,0,1,26.0,3.75,0,0
512,2,1,7.9999986,3.75,0,0
513,4,1,3.0,3.75,0,0
514,0,1,6.0000005,3.75,0,0
515,1,1,21.0,3.75,0,0
516,2,1,7.9999986,3.75,1,0
517,0,1,3.999999,3.75,0,0
518,1,1,6.9999995,3.75,1,1
519,2,1,0.0,3.75,1,0
520,0,1,0.0,2.54,1,1
521,0,1,0.9999999,2.54,1,0
522,0,1,3.999999,2.76,0,0
523,0,1,1.9999999,4.1399999,0,0
524,1,1,3.999999,0.92,0,0
525,0,1,0.0,1.005,0,0
526,2,1,6.0000005,3.0899999,0,0
527,2,1,3.0,3.0899999,1,1
528,0,1,0.0,1.79,0,0
529,1,1,3.0,1.4,0,0
530,4,1,3.0,1.4,0,0
531,2,1,0.0,1.4,1,0
532,2,1,0.0,1.4,0,0
533,0,1,13.9999971,1.4,0,0
534,1,1,12.0,1.4,0,0
535,1,1,1.9999999,1.4,0,0
536,1,1,6.0000005,2.0,0,0
537,2,1,10.9999971,4.3400002,1,0
538,4,1,6.0000005,4.3400002,1,0
539,0,1,0.0,1.75,0,0
540,6,1,36.0,2.0999999,1,0
541,1,1,7.9999986,2.0999999,0,0
542,0,1,1.9999999,2.0999999,0,0
543,2,1,10.9999971,3.5899999,1,0
544,2,1,10.9999971,3.5899999,1,2
545,0,1,17.9999981,3.5899999,0,0
546,0,1,3.999999,3.5899999,0,0
547,10,1,17.9999981,3.5899999,1,0
548,1,1,7.9999986,3.5899999,0,0
549,3,1,19.0000019,3.4100001,1,0
550,4,1,3.999999,3.4100001,1,0
551,0,1,4.9999981,3.4100001,1,2
552,1,1,6.9999995,3.4000001,0,0
553,2,1,3.999999,3.4000001,1,1
554,4,1,4.9999981,3.4000001,1,0
555,1,1,13.9999971,3.4000001,1,0
556,0,1,3.999999,3.4000001,1,0
557,3,1,3.999999,2.52,0,0
558,1,1,0.0,2.52,0,0
559,2,1,15.000001,3.6900001,1,1
560,1,1,0.9999999,3.6900001,1,0
561,0,1,3.0,3.6900001,1,1
562,1,1,17.9999981,3.6900001,0,0
563,0,1,15.000001,2.8699999,0,0
564,1,1,4.9999981,2.8699999,1,0
565,1,1,17.9999981,2.8699999,1,0
566,2,1,9.0,2.8699999,0,0
567,4,1,6.0000005,2.8699999,0,0
568,1,1,15.000001,2.8699999,1,0
569,2,1,3.999999,3.3599999,0,0
570,0,1,1.9999999,3.3599999,1,2
571,2,1,3.0,3.3599999,0,0
572,0,1,6.9999995,3.3599999,0,0
573,4,1,15.9999981,4.54,1,0
574,2,1,48.0,4.54,1,2
575,5,1,15.000001,4.54,1,0
576,1,1,36.9999924,4.54,0,0
577,2,1,9.999999,4.54,1,0
578,2,1,13.0,4.54,0,0
579,0,1,6.0000005,4.54,1,2
580,0,1,13.0,0.755,0,0
581,2,1,6.9999995,4.54,1,1
582,2,1,9.0,4.54,1,0
583,2,1,4.9999981,4.54,0,0
584,6,1,15.000001,4.54,0,0
585,3,1,3.0,4.54,0,0
586,0,1,13.9999971,4.54,0,0
587,1,1,1.9999999,1.28,1,0
588,4,1,3.999999,1.28,1,0
589,0,1,3.999999,1.28,1,0
590,0,1,0.0,2.5,1,1
591,2,1,47.0000076,3.8499999,1,2
592,1,1,29.0,3.8499999,1,0
593,5,1,0.9999999,3.8499999,1,1
594,1,1,17.9999981,3.8499999,0,0
595,1,1,13.0,2.05,0,0
596,1,1,17.0,2.05,0,0
597,2,1,1.9999999,2.05,0,0
598,4,1,3.999999,1.78,1,0
599,1,1,0.9999999,1.1799999,1,0
600,0,1,3.0,1.52,1,0
601,2,1,9.0,1.48,1,0
602,0,1,12.0,4.29,0,0
603,1,1,17.0,4.29,0,0
604,3,1,4.9999981,4.29,0,0
605,2,1,1.9999999,3.0899999,1,0
606,2,1,0.0,3.0899999,0,0
607,5,1,3.0,3.6199999,0,0
608,0,1,6.9999995,3.6199999,0,0
609,0,1,7.9999986,3.6199999,0,0
610,0,1,0.0,4.29,0,0
611,1,1,6.0000005,2.6099999,1,1
612,1,1,6.9999995,2.6099999,1,0
613,0,1,9.0,2.0999999,0,0
614,2,1,7.9999986,2.96,1,0
615,0,1,9.999999,2.3900001,0,0
616,1,1,3.0,1.95,1,0
617,2,1,13.9999971,3.4100001,0,0
618,2,1,0.9999999,4.29,0,0
619,2,1,10.9999971,3.5899999,0,0
620,1,1,9.999999,4.6199999,0,0
621,1,1,6.0000005,2.1400001,0,0
622,0,1,10.9999971,2.8599999,0,0
623,2,1,4.9999981,3.47,0,0
624,3,1,13.9999971,4.6199999,1,1
625,1,1,9.0,3.1900001,1,3
626,1,1,0.9999999,2.51,0,0
627,0,1,0.0,2.1199999,0,0
628,0,1,3.0,3.1900001,0,0
629,2,1,3.999999,1.74,1,1
630,0,1,0.0,1.25,1,0
631,0,1,6.9999995,3.6900001,1,0
632,0,1,4.9999981,3.21,0,0
633,0,1,15.000001,4.6199999,1,1
634,5,1,24.0000019,2.8599999,1,0
635,1,1,9.0,2.3900001,1,1
636,3,1,0.0,1.1799999,1,0
637,2,1,6.9999995,3.3599999,0,0
638,2,1,7.9999986,1.97,0,0
639,1,1,22.0,1.64,1,0
640,2,1,6.9999995,3.9200001,1,0
641,6,1,6.0000005,3.3199999,0,0
642,5,1,6.0000005,2.5799999,0,0
643,2,1,22.9999962,4.54,0,0
644,0,1,1.9999999,2.3900001,1,0
645,4,1,9.0,3.5899999,0,0
646,2,1,6.9999995,3.6900001,0,0
647,2,1,9.999999,3.1900001,0,0
648,2,1,3.999999,2.3199999,0,0
649,2,1,10.9999971,3.47,1,1
650,2,1,3.999999,3.6900001,0,0
651,3,1,4.9999981,2.3199999,1,1
652,1,1,10.9999971,3.1900001,0,0
653,1,1,19.0000019,4.54,0,0
654,0,1,3.0,3.3599999,1,1
655,2,1,4.9999981,2.5799999,1,0
656,2,1,6.9999995,3.21,1,1
658,4,1,9.999999,2.5,0,0
659,0,1,0.0,3.1900001,1,2
660,0,1,3.0,3.3599999,0,0
661,6,1,9.0,3.1500001,0,0
662,2,1,6.9999995,1.45,1,0
663,1,1,6.9999995,2.8599999,1,2
664,3,1,48.9999924,4.6199999,1,1
665,0,1,1.9999999,3.6900001,1,0
666,1,1,19.0000019,2.96,1,0
667,1,1,12.0,3.0899999,1,1
668,0,1,0.9999999,3.0899999,0,0
669,2,1,12.0,4.6199999,0,0
670,0,1,13.0,2.8599999,1,0
671,0,1,1.9999999,3.21,0,0
672,2,1,3.0,2.8299999,1,0
673,1,1,22.0,4.29,0,0
674,0,1,35.0000076,4.29,0,0
675,2,1,0.9999999,3.0899999,1,0
676,0,1,3.999999,3.6900001,0,0
677,0,1,0.9999999,1.79,1,0
678,0,1,1.9999999,3.3599999,1,1
679,4,1,13.9999971,2.5799999,1,0
680,1,1,24.0000019,3.75,0,0
681,2,1,4.9999981,3.1900001,0,0
682,0,1,0.9999999,2.0999999,0,0
683,0,1,7.9999986,3.5899999,1,1
684,0,1,0.9999999,3.9200001,0,0
685,1,1,24.0000019,3.3199999,1,1
686,0,1,1.9999999,2.0,0,0
687,0,1,1.9999999,3.47,1,0
688,4,1,13.9999971,3.21,1,0
689,3,1,4.9999981,2.05,0,0
690,0,1,0.9999999,2.52,0,0
691,0,1,6.9999995,3.1500001,1,0
692,6,1,38.0000038,1.86,1,2
693,2,1,3.0,2.8599999,0,0
694,4,1,3.999999,4.29,1,1
695,0,1,0.0,1.255,1,2
696,5,1,19.0000019,3.21,1,0
697,1,1,4.9999981,2.3199999,1,1
698,4,1,3.0,3.1900001,0,0
699,1,1,1.9999999,3.1900001,1,0
700,3,1,10.9999971,3.3599999,1,0
701,1,1,13.9999971,3.54,1,1
702,0,1,6.0000005,1.86,1,0
703,0,1,13.0,1.505,0,0
704,1,1,6.9999995,2.3900001,1,0
705,2,1,10.9999971,4.29,1,1
706,0,1,9.0,2.0,1,1
707,1,1,3.999999,3.9200001,0,0
708,2,1,6.0000005,4.29,1,0
709,1,1,6.0000005,3.3599999,0,0
710,3,1,13.9999971,4.6199999,1,0
712,2,1,4.9999981,3.5899999,1,0
